Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:30:42:44,-0.329,-0.075,0.938,0,0.305,0.122
2025-02-01, 10:30:42:95,-0.329,-0.077,0.939,0.061,0.366,0
2025-02-01, 10:30:43:46,-0.329,-0.076,0.939,-0.061,0.427,-0.061
2025-02-01, 10:30:43:97,-0.328,-0.076,0.939,-0.061,0.183,0.183
2025-02-01, 10:30:44:48,-0.328,-0.082,0.936,-0.793,0.366,0.366
2025-02-01, 10:30:44:99,-0.31,-0.353,0.95,-30.273,33.63,187.073
2025-02-01, 10:30:45:50,-0.076,0.114,1.012,5.188,-2.014,-7.141
2025-02-01, 10:30:46:01,-0.079,0.153,0.987,0.916,0.122,1.038
2025-02-01, 10:30:46:52,-0.183,0.143,0.93,2.625,26.489,-41.382
2025-02-01, 10:30:47:03,-0.479,0.116,0.885,8.484,47.668,-60.364
2025-02-01, 10:30:47:54,-0.758,-0.139,0.626,-8.789,-55.908,41.26
2025-02-01, 10:30:48:05,-0.375,0.33,0.894,8.606,-21.24,-18.494
2025-02-01, 10:30:48:56,-0.242,0.153,0.951,-2.808,-3.601,-0.061
2025-02-01, 10:30:49:07,-0.232,0.049,0.967,-2.93,-0.671,-0.732
2025-02-01, 10:30:49:58,-0.224,0.04,0.974,-0.793,-0.488,1.587
2025-02-01, 10:30:50:09,-0.535,0.017,0.519,74.585,263.916,-134.46
2025-02-01, 10:30:50:60,-0.794,-0.261,-0.353,-49.377,87.463,-22.827
2025-02-01, 10:30:51:11,-0.539,-0.504,-0.736,-37.231,20.752,21.423
2025-02-01, 10:30:51:61,-0.626,-0.196,-0.141,65.857,-291.382,119.995
2025-02-01, 10:30:52:13,-0.664,-0.353,0.633,18.799,6.958,-27.71
2025-02-01, 10:30:52:64,-0.582,-0.191,0.792,-2.563,1.099,-1.526
2025-02-01, 10:30:53:15,-0.57,-0.192,0.79,-0.916,1.099,1.526
2025-02-01, 10:30:53:66,-0.566,-0.196,0.794,-0.793,-1.038,-0.061
2025-02-01, 10:30:54:17,-0.561,-0.198,0.809,-0.977,-0.061,0.916
2025-02-01, 10:30:54:68,-0.557,-0.19,0.801,-0.244,-1.038,2.136
2025-02-01, 10:30:55:19,-0.551,-0.185,0.812,0.061,1.404,-0.122
2025-02-01, 10:30:55:70,-0.552,-0.186,0.818,0.61,-0.305,1.16
2025-02-01, 10:30:56:21,-0.543,-0.187,0.81,1.465,-0.244,0.977
2025-02-01, 10:30:56:72,-0.528,-0.163,0.835,-0.732,-0.122,1.526
2025-02-01, 10:30:57:23,-0.526,-0.157,0.838,-0.61,0.183,1.16
2025-02-01, 10:30:57:74,-0.52,-0.153,0.849,0.977,-0.183,1.587
2025-02-01, 10:30:58:25,-0.513,-0.154,0.855,1.038,0.732,-0.488
2025-02-01, 10:30:58:76,-0.514,-0.146,0.86,-1.648,2.93,-3.906
2025-02-01, 10:30:59:27,-0.528,-0.176,0.834,-2.38,2.441,-1.831
2025-02-01, 10:30:59:77,-0.532,-0.208,0.823,0.61,0.183,0.427
2025-02-01, 10:30:60:28,-0.53,-0.2,0.821,-1.282,-0.793,0
2025-02-01, 10:30:60:79,-0.371,-0.169,0.744,-24.048,-73.364,-7.629
2025-02-01, 10:30:61:30,-0.69,-0.709,0.313,-43.579,25.696,15.076
